Date,Open,High,Low,Close,Adj Close,momentum_rsi,trend_macd,trend_macd_signal,trend_macd_diff,volatility_bbm,volatility_bbl,volatility_bbh,trend_psar,momentum_stoch,momentum_stoch_signal,Close_Lag1,bb_percent_b,bb_width,above_psar,Target
2003-12-01,1.20339834690094,1.204006910324097,1.194400668144226,1.19650137424469,1.19650137424469,,,,,,,,1.19650137424469,,,,,,0,1.2088974714279177
2003-12-02,1.1961007118225098,1.2109030485153198,1.1946003437042236,1.2088974714279177,1.2088974714279177,,,,,,,,1.2088974714279177,,,1.19650137424469,,,0,1.2122975587844849
2003-12-03,1.208999752998352,1.213003396987915,1.2077003717422483,1.2122975587844849,1.2122975587844849,,,,,,,,1.204006910324097,,,1.2088974714279177,,,1,1.2080942392349243
2003-12-04,1.2120037078857422,1.2144027948379517,1.2043983936309814,1.2080942392349243,1.2080942392349243,,,,,,,,1.2077003717422483,,,1.2122975587844849,,,1,1.2186946868896484
2003-12-05,1.207802414894104,1.2190959453582764,1.2065927982330322,1.2186946868896484,1.2186946868896484,,,,,,,,1.2144027948379517,,,1.2080942392349243,,,1,1.2220009565353394
2003-12-08,1.2167967557907104,1.2240052223205566,1.2154065370559692,1.2220009565353394,1.2220009565353394,,,,,,,,1.2065927982330322,,,1.2186946868896484,,,1,1.2249947786331177
2003-12-09,1.2221053838729858,1.2277017831802368,1.2197948694229126,1.2249947786331177,1.2249947786331177,,,,,,,,1.2065927982330322,,,1.2220009565353394,,,1,1.2190959453582764
2003-12-10,1.2249047756195068,1.226602554321289,1.2162047624588013,1.2190959453582764,1.2190959453582764,,,,,,,,1.2074371576309204,,,1.2249947786331177,,,1,1.2224042415618896
2003-12-11,1.2190959453582764,1.2234959602355957,1.2122975587844849,1.2224042415618896,1.2224042415618896,,,,,,,,1.208247742652893,,,1.2190959453582764,,,1,1.2278977632522583
2003-12-12,1.2227030992507937,1.2306026220321655,1.2212995290756226,1.2278977632522583,1.2278977632522583,,,,,,,,1.2090259042739868,,,1.2224042415618896,,,1,1.2319974899291992
2003-12-15,1.2186946868896484,1.2324985265731812,1.2178043127059937,1.2319974899291992,1.2319974899291992,,,,,,,,1.2103205073394776,,,1.2278977632522583,,,1,1.2321947813034058
2003-12-16,1.2314057350158691,1.2358952760696411,1.2304966449737549,1.2321947813034058,1.2321947813034058,,,,,,,,1.212094748878174,,,1.2319974899291992,,,1,1.2402024269104004
